[00:00:00.000 --> 00:00:02.340]   acontecendo? Eu tenho agentes
[00:00:02.340 --> 00:00:04.040]   de AI que fazem todos os métodos
[00:00:04.040 --> 00:00:06.730]   para você, por que você não faz?"
[00:00:06.730 --> 00:00:08.300]   Porque simplesmente tem
[00:00:08.300 --> 00:00:10.740]   especialistas com tanto conhecimento
[00:00:10.740 --> 00:00:12.760]   que travam na hora de falar "esse
[00:00:12.760 --> 00:00:14.840]   é o conhecimento que fica, esse
[00:00:14.840 --> 00:00:17.040]   é o conhecimento que sai, isso
[00:00:17.040 --> 00:00:18.730]   é necessário, isso não é necessário".
[00:00:18.730 --> 00:00:21.310]   Porque o especialista é uma
[00:00:21.310 --> 00:00:23.710]   pessoa, um profissional apaixonado
[00:00:23.710 --> 00:00:25.710]   pelo que faz. E quanto mais a
[00:00:25.710 --> 00:00:27.670]   gente se apaixona pelo nosso
[00:00:27.670 --> 00:00:29.960]   método, nosso conhecimento,
[00:00:29.960 --> 00:00:32.010]   mais difícil é a gente abrir
[00:00:32.010 --> 00:00:32.730]   mão.
[00:00:32.730 --> 00:00:34.200]   Então quando eu chego e começo
[00:00:34.200 --> 00:00:35.660]   a simplificar o método dos meus
[00:00:35.660 --> 00:00:37.230]   alunos, eles falam "mas sério
[00:00:37.230 --> 00:00:38.520]   que vai tirar isso, mas sério
[00:00:38.520 --> 00:00:39.730]   que vai tirar isso".
[00:00:39.730 --> 00:00:41.690]   Eu estou numa guerra com uma aluna
[00:00:41.690 --> 00:00:43.300]   minha que ela é de guerra do
[00:00:43.300 --> 00:00:44.980]   bem, com uma aluna minha que
[00:00:44.980 --> 00:00:47.220]   ela é de regularização de imóveis
[00:00:47.220 --> 00:00:47.730]   murais.
