
[00:00:00.000 --> 00:00:05.000]   Começamos. Sejam muito bem-vindas
[00:00:05.000 --> 00:00:07.360]   à nossa Live Expert360.
[00:00:07.360 --> 00:00:09.960]   Hoje é a live de número 27. O
[00:00:09.960 --> 00:00:11.790]   projeto começou em fevereiro e
[00:00:11.790 --> 00:00:12.600]   está com tudo.
[00:00:12.600 --> 00:00:14.140]   E hoje eu vou trazer para vocês
[00:00:14.140 --> 00:00:16.700]   uma estrutura de como desenhar
[00:00:16.700 --> 00:00:17.920]   um infoproduto,
[00:00:17.920 --> 00:00:20.530]   que eu faço isso para cada infoproduto,
[00:00:20.530 --> 00:00:22.720]   e quais são os erros que eu cometi
[00:00:22.720 --> 00:00:24.620]   para vocês não cometerem desde
[00:00:24.620 --> 00:00:26.560]   o começo dessa minha jornada.
[00:00:26.560 --> 00:00:28.530]   E vocês vão perceber que para
[00:00:28.530 --> 00:00:30.490]   criar um infoproduto vocês
[00:00:30.490 --> 00:00:31.160]   precisam responder
[00:00:31.160 --> 00:00:33.920]   cinco perguntas em todo o infoproduto,
[00:00:33.920 --> 00:00:36.800]   seja um e-book, uma mentoria ou
[00:00:36.800 --> 00:00:36.840]   um
[00:00:36.840 --> 00:00:39.440]   produto curso gravado. Enfim,
[00:00:39.440 --> 00:00:41.630]   sempre você precisa responder
[00:00:41.630 --> 00:00:43.120]   para ter uma base e uma
[00:00:43.120 --> 00:00:44.780]   clareza do que vai ser vendido
[00:00:44.780 --> 00:00:47.050]   e para quem. Ok? E aí vem
[00:00:47.050 --> 00:00:48.600]   aquela grande pergunta, né?
[00:00:48.600 --> 00:00:50.580]   Quantas vezes você já teve uma
[00:00:50.580 --> 00:00:52.910]   boa ideia de infoproduto e travou
[00:00:52.910 --> 00:00:53.960]   na hora de tirar
[00:00:53.960 --> 00:00:55.880]   do papel? Porque a ideia parecia
[00:00:55.880 --> 00:00:57.890]   lógica, fazia sentido, mas você
[00:00:57.890 --> 00:00:58.840]   fala "tá, como que eu
[00:00:58.840 --> 00:01:00.640]   entrego tudo isso?" Não porque
[00:01:00.640 --> 00:01:02.120]   a ideia era ruim, mas porque
[00:01:02.120 --> 00:01:03.600]   você não sabia qual é a
[00:01:03.600 --> 00:01:05.130]   primeira parte que eu desenho
[00:01:05.130 --> 00:01:06.560]   de um infoproduto. É o que a
[00:01:06.560 --> 00:01:06.920]   gente vai
[00:01:06.920 --> 00:01:09.520]   conversar aqui hoje. Antes eu vim
[00:01:09.520 --> 00:01:11.550]   trazer o meu erro maior que
[00:01:11.550 --> 00:01:12.200]   quando eu cheguei no
[00:01:12.200 --> 00:01:14.190]   digital. Meu grande erro era o
