
[00:00:00.000 --> 00:00:06.120]   Começamos! Sejam bem-vindos a
[00:00:06.120 --> 00:00:08.880]   nossa live de número 24, live
[00:00:08.880 --> 00:00:12.320]   Expert360. Hoje vamos falar
[00:00:12.320 --> 00:00:15.400]   sobre a oferta. Quantas vezes
[00:00:15.400 --> 00:00:17.520]   vocês ouviram falar "você tem
[00:00:17.520 --> 00:00:20.000]   que ter uma oferta perfeita,
[00:00:20.000 --> 00:00:24.540]   incrível, maravilhosa", mas não
[00:00:24.540 --> 00:00:27.250]   convertia, mas não dava certo.
[00:00:27.250 --> 00:00:28.500]   Já aconteceu isso por aí?
[00:00:28.500 --> 00:00:31.180]   Estão vendo aqui, está aparecendo
[00:00:31.180 --> 00:00:33.480]   para vocês, tudo certinho. Aqui
[00:00:33.480 --> 00:00:35.810]   deixa eu colocar "do ótimo
[00:00:35.810 --> 00:00:38.820]   Sandra", então vamos lá. O que
[00:00:38.820 --> 00:00:40.990]   a gente vai conversar hoje? Sobre
[00:00:40.990 --> 00:00:43.360]   dores reais de quem criou uma
[00:00:43.360 --> 00:00:45.620]   oferta perfeita e mesmo assim
[00:00:45.620 --> 00:00:47.000]   não converteu.
[00:00:47.000 --> 00:00:49.080]   Dores reais da Karol. O que eu
[00:00:49.080 --> 00:00:51.500]   trago aqui? Dores que eu sofri,
[00:00:51.500 --> 00:00:53.400]   que eu achei uma solução e eu
[00:00:53.400 --> 00:00:55.320]   já trago como um atalho para
[00:00:55.320 --> 00:00:57.480]   que vocês não precisem passar
[00:00:57.480 --> 00:00:59.710]   pelos mesmos erros, sofrer como
[00:00:59.710 --> 00:01:01.620]   eu sofri, não desistir do
[00:01:01.620 --> 00:01:02.990]   digital, porque eu realmente
[00:01:02.990 --> 00:01:04.710]   acredito que aqui é o melhor
[00:01:04.710 --> 00:01:06.550]   lugar para se estar, para ter
[00:01:06.550 --> 00:01:08.600]   flexibilidade, para ganhar de
[00:01:08.600 --> 00:01:09.980]   acordo com a sua meritocracia,
[00:01:09.980 --> 00:01:12.550]   quanto você acredita que seja
[00:01:12.550 --> 00:01:14.500]   suficiente para você.
[00:01:14.500 --> 00:01:16.190]   Então, eu falo que a verdadeira
[00:01:16.190 --> 00:01:18.290]   meritocracia está no empreendedorismo
[00:01:18.290 --> 00:01:19.920]   e o empreendedorismo digital é
[00:01:19.920 --> 00:01:21.360]   o melhor dos mundos, porque
[00:01:21.360 --> 00:01:22.800]   você tem a flexibilidade de
[00:01:22.800 --> 00:01:24.400]   estar na sua casa, quem é mãe
[00:01:24.400 --> 00:01:25.920]   sofre mais ainda, então pode
[00:01:25.920 --> 00:01:27.500]   aproveitar os filhos.
[00:01:27.500 --> 00:01:30.190]   E eu quero dizer que eu acreditei
[00:01:30.190 --> 00:01:32.130]   também nessa oferta perfeita,
[00:01:32.130 --> 00:01:34.150]   única e incrível para o seu
[00:01:34.150 --> 00:01:36.720]   lead, só que não aconteceu. Eu
[00:01:36.720 --> 00:01:39.140]   fazia muitas sessões de vendas,
[00:01:39.140 --> 00:01:41.510]   eu faço ainda as vendas secretas
[00:01:41.510 --> 00:01:44.500]   baseadas nas sessões estratégicas
[00:01:44.500 --> 00:01:47.030]   e não rolava, assim, as pessoas
[00:01:47.030 --> 00:01:48.500]   acreditavam, viu que a incubadora
